Timestamp,Power,Result,PatternRIS0
2025-11-13T07:32:55.439706,10.0,-63.04346305097226,0
2025-11-13T07:32:55.468702,10.0,-77.65243660560355,1
2025-11-13T07:32:55.476223,10.0,-78.0464054140362,2
2025-11-13T07:32:55.483230,10.0,-65.3659876987121,3
2025-11-13T07:32:55.490231,10.0,-75.89744299103377,4
2025-11-13T07:32:55.498769,10.0,-75.57005765114913,5
2025-11-13T07:32:55.505754,10.0,-71.05840069470449,6
2025-11-13T07:32:55.514749,10.0,-63.43266908317976,7
2025-11-13T07:32:55.520272,10.0,-71.34005211281548,8
2025-11-13T07:32:55.530279,10.0,-77.89295246993703,9
2025-11-13T07:32:55.536272,10.0,-74.93682135502434,10
2025-11-13T07:32:55.546279,10.0,-73.57675926292045,11
2025-11-13T07:32:55.552271,10.0,-71.89439005136765,12
2025-11-13T07:32:55.559272,10.0,-63.22312983587278,13
2025-11-13T07:32:55.566271,10.0,-73.06329286969536,14
2025-11-13T07:32:55.573276,10.0,-77.88000888988915,15
2025-11-13T07:32:55.580796,10.0,-66.13999557100671,16
2025-11-13T07:32:55.599338,10.0,-60.715111265277756,17
2025-11-13T07:32:55.612334,10.0,-74.99612028617362,18
2025-11-13T07:32:55.623332,10.0,-79.28034640206687,19
2025-11-13T07:32:55.633864,10.0,-69.5923899223179,20
2025-11-13T07:32:55.643858,10.0,-68.18467006424159,21
2025-11-13T07:32:55.653853,10.0,-66.45818221204158,22
2025-11-13T07:32:55.661855,10.0,-66.48361059336857,23
2025-11-13T07:32:55.670853,10.0,-74.13630800221071,24
2025-11-13T07:32:55.680384,10.0,-79.91377227028433,25
2025-11-13T07:32:55.697903,10.0,-61.153815596691715,26
2025-11-13T07:32:55.713443,10.0,-62.52938000532007,27
2025-11-13T07:32:55.721947,10.0,-70.27228453339322,28
2025-11-13T07:32:55.730957,10.0,-75.50955006971562,29
2025-11-13T07:32:55.736957,10.0,-75.79290969262087,30
2025-11-13T07:34:17.232030,10.0,-73.71312562770301,0
2025-11-13T07:34:17.245034,10.0,-66.10209958062238,1
2025-11-13T07:34:17.255031,10.0,-68.12316868558133,2
2025-11-13T07:36:15.110586,10.0,-64.40366214664802,0
2025-11-13T07:39:13.857895,10.0,-77.39026469976487,0
