Timestamp,Power,Result,PatternRIS0,PatternRIS1
2026-04-09T14:06:40.178777,10.0,-60.36363355704954,0,0
2026-04-09T14:06:40.189049,10.0,-71.8388023711536,1,0
2026-04-09T14:06:40.192672,10.0,-73.04961135918253,2,0
2026-04-09T14:06:40.196068,10.0,-76.12949405188456,0,0
2026-04-09T14:06:40.199431,10.0,-65.34506682009179,0,1
2026-04-09T14:06:40.202815,10.0,-62.86948752450675,0,2
2026-04-09T14:22:48.712127,10.0,-74.98817132183757,0,0
2026-04-09T14:22:48.721103,10.0,-78.1653078848058,1,0
2026-04-09T14:22:48.724811,10.0,-76.70330818910399,2,0
2026-04-09T14:22:48.728146,10.0,-69.22412010259923,3,0
2026-04-09T14:22:48.731477,10.0,-67.21664559106563,4,0
2026-04-09T14:22:48.734841,10.0,-67.25787878788255,5,0
2026-04-09T14:22:48.738113,10.0,-60.79061484554894,6,0
2026-04-09T14:22:48.741363,10.0,-63.43185188100896,7,0
2026-04-09T14:22:48.744685,10.0,-75.64616588861583,8,0
2026-04-09T14:22:48.748025,10.0,-62.96636387109531,9,0
2026-04-09T14:22:48.752085,10.0,-76.42709353986952,10,0
2026-04-09T14:22:48.755912,10.0,-63.764403430680375,11,0
2026-04-09T14:22:48.759711,10.0,-75.55368466556352,12,0
2026-04-09T14:22:48.763145,10.0,-70.24567577770497,13,0
2026-04-09T14:22:48.766449,10.0,-60.526929599648454,14,0
2026-04-09T14:22:48.769611,10.0,-72.91311368781948,15,0
2026-04-09T14:22:48.772904,10.0,-72.50588024320818,16,0
2026-04-09T14:22:48.776013,10.0,-63.55814711216259,17,0
2026-04-09T14:22:48.779211,10.0,-67.1097277249071,18,0
2026-04-09T14:22:48.782404,10.0,-75.12050147413112,19,0
2026-04-09T14:22:48.785628,10.0,-65.60326843847795,20,0
2026-04-09T14:22:48.788745,10.0,-76.33842636127986,21,0
2026-04-09T14:22:48.792190,10.0,-76.73700133704737,22,0
2026-04-09T14:22:48.796000,10.0,-62.46438675174419,23,0
