Timestamp,Step,Power,Result
2025-11-16T15:07:39.411675,1,-30,-62.500564727341626
2025-11-16T15:07:39.419685,2,-25,-79.70699506300642
2025-11-16T15:07:39.426795,3,-20,-62.061314739670486
2025-11-16T15:07:39.431798,4,Noise,-62.19932527935747
2025-11-16T15:07:39.441731,5,-15,-69.83551784921033
2025-11-16T17:04:42.859445,1,-30,-67.44449668127238
2025-11-16T17:04:42.863444,2,-25,-64.20520354511578
2025-11-16T17:04:42.870514,2,-25,-63.224505864089735
2025-11-16T17:04:42.874510,3,-20,-65.29932944713423
2025-11-16T17:04:42.887235,4,Noise,-60.34259745957342
2025-11-16T17:04:42.891243,5,-15,-77.63635302207247
2025-11-16T17:04:42.895244,5,-15,-63.406067709557675
2025-11-16T17:05:12.291366,1,-30,-75.88026505714413
2025-11-16T17:05:12.295365,2,-25,-60.11016696819905
2025-11-16T17:05:12.300720,2,-25,-66.56291847284665
2025-11-16T17:05:12.302720,3,-20,-62.38694683721896
2025-11-16T17:05:12.307235,3,-20,-66.89486633602945
2025-11-16T17:05:12.317357,4,Noise,-66.6788608392507
2025-11-16T17:05:12.320359,5,-15,-77.48669524636158
2025-11-16T17:05:12.324358,5,-15,-77.96066291724937
