Timestamp,Power,Result,PatternRIS0,PatternRIS1
2026-06-15T22:37:42.458622,10.0,-60.54455516485943,0,0
2026-06-15T22:37:42.498016,10.0,-73.84148188141023,1,0
2026-06-15T22:37:42.509514,10.0,-60.279157888476114,2,0
2026-06-15T22:37:42.521541,10.0,-71.55398754058902,0,0
2026-06-15T22:37:42.533296,10.0,-70.30816473533022,0,1
2026-06-15T22:37:42.545288,10.0,-76.75152149934821,0,2
2026-06-15T22:37:45.592673,10.0,-68.09902211542529,0,0
2026-06-15T22:37:45.603078,10.0,-75.50820370014247,1,0
2026-06-15T22:37:45.609071,10.0,-62.29032665474354,2,0
2026-06-15T22:37:45.616789,10.0,-60.335611731333586,2,0
2026-06-15T22:37:45.628013,10.0,-60.92204917630745,2,0
2026-06-15T22:37:45.633006,10.0,-78.2825589511942,0,0
2026-06-15T22:37:45.640007,10.0,-60.74456945983066,0,0
2026-06-15T22:37:45.644000,10.0,-74.16904071074795,0,0
2026-06-15T22:37:45.648291,10.0,-69.84016600278235,0,1
2026-06-15T22:37:45.654337,10.0,-72.66547837104247,0,1
2026-06-15T22:37:45.657318,10.0,-66.20715405138348,0,1
2026-06-15T22:37:45.660301,10.0,-66.64955254036578,0,2
2026-06-15T22:37:45.666304,10.0,-66.27701934685876,0,2
2026-06-15T22:39:50.513143,10.0,-78.0125603479897,0,0
2026-06-15T22:39:50.524188,10.0,-60.991128732330104,1,0
2026-06-15T22:39:50.530259,10.0,-78.34666901200096,2,0
2026-06-15T22:39:50.536666,10.0,-63.81106437953969,2,0
2026-06-15T22:39:50.544837,10.0,-75.30313545197217,2,0
2026-06-15T22:39:50.550830,10.0,-62.59037308603042,0,0
2026-06-15T22:39:50.554835,10.0,-63.08669815818825,0,0
2026-06-15T22:39:50.561464,10.0,-79.15634223078438,0,0
2026-06-15T22:39:50.567472,10.0,-75.492608979497,0,0
2026-06-15T22:39:50.571464,10.0,-63.20154428012591,0,1
2026-06-15T22:39:50.575212,10.0,-77.1654204922643,0,1
2026-06-15T22:39:50.580094,10.0,-74.17599925918181,0,1
2026-06-15T22:39:50.584088,10.0,-66.55041141388969,0,1
2026-06-15T22:39:50.588097,10.0,-79.63538777291195,0,2
2026-06-15T22:39:50.592117,10.0,-77.62695803183614,0,2
2026-06-15T22:39:50.596127,10.0,-73.3498445251743,0,2
2026-06-15T22:39:53.135304,10.0,-63.07552659950457,0,0
2026-06-15T22:39:53.147307,10.0,-77.67425232073323,1,0
2026-06-15T22:39:53.151296,10.0,-64.84660887832855,2,0
2026-06-15T22:39:53.153299,10.0,-70.39036229008084,2,0
2026-06-15T22:39:53.156295,10.0,-66.64322208563041,2,0
2026-06-15T22:39:53.160302,10.0,-75.51250547741414,2,0
2026-06-15T22:39:53.167158,10.0,-70.93685003543776,2,0
2026-06-15T22:39:53.170186,10.0,-79.83305620966345,0,0
2026-06-15T22:39:53.173182,10.0,-72.985891696127,0,0
2026-06-15T22:39:53.175188,10.0,-79.32994931207388,0,0
2026-06-15T22:39:53.179711,10.0,-61.15308732110347,0,0
2026-06-15T22:39:53.183710,10.0,-74.9586880892634,0,0
2026-06-15T22:39:53.185701,10.0,-60.38295937284349,0,1
2026-06-15T22:39:53.187704,10.0,-70.87133483918946,0,1
2026-06-15T22:39:53.190703,10.0,-64.94436802526508,0,1
2026-06-15T22:39:53.194710,10.0,-61.00049017431745,0,1
2026-06-15T22:39:53.198704,10.0,-74.50519732877936,0,1
2026-06-15T22:39:53.201706,10.0,-73.29902968906573,0,2
2026-06-15T22:39:53.204704,10.0,-73.55087866339629,0,2
2026-06-15T22:39:53.206701,10.0,-65.5351525306338,0,2
2026-06-15T22:39:53.212233,10.0,-68.28421582012552,0,2
2026-06-15T22:39:55.226939,10.0,-77.24029034228236,0,0
2026-06-15T22:39:55.235951,10.0,-70.56369692849243,1,0
2026-06-15T22:39:55.239940,10.0,-76.88235893339194,2,0
2026-06-15T22:39:55.241939,10.0,-63.62476212825236,2,0
2026-06-15T22:39:55.245947,10.0,-73.08451022831254,2,0
2026-06-15T22:39:55.247942,10.0,-64.8625220146547,2,0
2026-06-15T22:39:55.251942,10.0,-77.71687480657478,2,0
2026-06-15T22:39:55.255946,10.0,-70.9043255680603,2,0
2026-06-15T22:39:55.260365,10.0,-64.8113531571777,0,0
2026-06-15T22:39:55.264393,10.0,-66.52526227714092,0,0
2026-06-15T22:39:55.269391,10.0,-71.2077920439252,0,1
2026-06-15T22:39:55.272900,10.0,-65.69502951388395,0,1
2026-06-15T22:39:55.275901,10.0,-73.44090231147925,0,2
2026-06-15T22:39:55.278897,10.0,-68.69708688532074,0,2
2026-06-15T22:39:55.281273,10.0,-69.2827023266773,0,2
2026-06-15T22:39:55.283281,10.0,-63.87803825269652,0,2
2026-06-15T22:39:55.285275,10.0,-76.96096529942916,0,2
2026-06-15T22:39:55.287277,10.0,-61.16676303147073,0,2
2026-06-15T22:39:55.293278,10.0,-76.2826238156031,0,2
2026-06-15T22:39:57.273572,10.0,-60.22142114563316,0,0
2026-06-15T22:39:57.278563,10.0,-71.63779715060178,1,0
2026-06-15T22:39:57.282564,10.0,-71.70559985088192,2,0
2026-06-15T22:39:57.286813,10.0,-79.70204176565983,2,0
2026-06-15T22:39:57.292198,10.0,-60.7772798010654,0,0
2026-06-15T22:39:57.296198,10.0,-79.87384998368665,0,1
2026-06-15T22:39:57.299199,10.0,-60.12147147729254,0,2
2026-06-15T22:39:57.302193,10.0,-65.58210717069232,0,2
