Timestamp,Step,Power,Result
2026-06-15T22:37:42.569558,1,-30,-70.75776930499109
2026-06-15T22:37:42.693785,2,-30,-75.46647117982634
2026-06-15T22:37:42.820047,3,-30,-67.98768448501488
2026-06-15T22:37:42.944136,4,-30,-74.74721677864557
2026-06-15T22:37:43.069494,5,-30,-63.61067175068015
2026-06-15T22:37:43.197155,6,-30,-68.80480752826551
2026-06-15T22:37:43.323583,7,-30,-61.66328111552912
2026-06-15T22:37:43.449238,8,-30,-72.6545585985464
2026-06-15T22:37:43.559664,9,-30,-63.82919364665153
2026-06-15T22:37:43.685172,10,-30,-67.20435356861753
2026-06-15T22:37:43.703139,11,Noise,-62.72826109450992
2026-06-15T22:37:43.758226,12,Noise,-62.87263783611357
2026-06-15T22:37:43.799016,13,Noise,-69.91360297434395
2026-06-15T22:37:43.812542,14,Noise,-78.37811204041847
2026-06-15T22:37:43.819028,15,Noise,-60.71961096768159
2026-06-15T22:37:43.828898,16,Noise,-64.19238521241242
2026-06-15T22:37:45.670303,1,-30,-69.19284675780669
2026-06-15T22:39:50.601132,1,-30,-76.15022564785377
2026-06-15T22:39:53.218290,1,-30,-66.83901603004105
2026-06-15T22:39:55.298277,1,-30,-72.64147425804293
2026-06-15T22:39:57.312196,1,-30,-73.5695774306093
2026-06-15T22:39:59.262378,1,-30,-70.9432195855407
2026-06-15T22:39:59.264375,2,-30,-65.322886484577
2026-06-15T22:40:01.570336,1,-30,-75.61437207099233
2026-06-15T22:41:03.223929,1,-30,-62.268283465661185
