Timestamp,Step,Power,Result
2026-04-09T14:57:29.899171,1,-30,-73.409423828125
2026-04-09T14:57:30.193427,2,-30,-74.1728401184082
2026-04-09T14:57:30.486823,3,-30,-74.17694091796875
2026-04-09T14:57:30.780955,4,-30,-74.04519557952881
2026-04-09T14:57:31.074722,5,-30,-74.229416847229
2026-04-09T14:57:31.368705,6,-30,-74.25854206085205
2026-04-09T14:57:31.662936,7,-30,-74.26138877868652
2026-04-09T14:57:31.957351,8,-30,-74.27090644836426
2026-04-09T14:57:32.251186,9,-30,-74.33212280273438
2026-04-09T14:57:32.544682,10,-30,-74.27876472473145
2026-04-09T14:57:32.858990,11,Noise,-74.45208072662354
2026-04-09T14:57:33.152482,12,Noise,-74.37823295593262
2026-04-09T14:57:33.444669,13,Noise,-74.37368392944336
2026-04-09T14:57:33.739146,14,Noise,-74.45762157440186
2026-04-09T14:57:34.032651,15,Noise,-74.46926593780518
2026-04-09T14:57:34.327006,16,Noise,-74.38931465148926
2026-04-09T14:57:34.621889,17,Noise,-74.36898708343506
2026-04-09T14:57:34.915992,18,Noise,-74.41589832305908
2026-04-09T14:57:35.210405,19,Noise,-74.47943210601807
2026-04-09T14:57:35.504824,20,Noise,-74.44087505340576
2026-04-09T15:01:32.202369,1,-30,-73.45853328704834
2026-04-09T15:01:32.493275,2,-30,-74.07881736755371
2026-04-09T15:01:32.786718,3,-30,-73.81997108459473
2026-04-09T15:01:33.080022,4,-30,-74.02582168579102
2026-04-09T15:01:33.373408,5,-30,-74.17087078094482
2026-04-09T15:01:33.670329,6,-30,-74.3535566329956
2026-04-09T15:01:33.964610,7,-30,-74.22397136688232
2026-04-09T15:01:34.255722,8,-30,-74.2282485961914
2026-04-09T15:01:34.552527,9,-30,-74.26217079162598
2026-04-09T15:01:34.846361,10,-30,-74.19276237487793
2026-04-09T15:01:35.163786,11,Noise,-74.50909614562988
2026-04-09T15:01:35.457971,12,Noise,-74.47721481323242
2026-04-09T15:01:35.748792,13,Noise,-74.43241596221924
2026-04-09T15:01:36.043632,14,Noise,-74.39188480377197
2026-04-09T15:01:36.341022,15,Noise,-74.40560817718506
2026-04-09T15:01:36.635019,16,Noise,-74.46890830993652
2026-04-09T15:01:36.925795,17,Noise,-74.37871932983398
2026-04-09T15:01:37.220562,18,Noise,-74.39950466156006
2026-04-09T15:01:37.515057,19,Noise,-74.41899299621582
2026-04-09T15:01:37.809944,20,Noise,-74.4409990310669
2026-04-09T15:02:16.602344,1,-30,-73.39938640594482
2026-04-09T15:02:16.896369,2,-30,-74.15928840637207
2026-04-09T15:02:17.189728,3,-30,-74.14171695709229
2026-04-09T15:02:17.483501,4,-30,-74.34398174285889
2026-04-09T15:02:17.777731,5,-30,-74.351806640625
2026-04-09T15:02:18.071511,6,-30,-74.25943851470947
2026-04-09T15:02:18.364711,7,-30,-74.24880981445312
2026-04-09T15:02:18.658825,8,-30,-74.24161911010742
2026-04-09T15:02:18.952592,9,-30,-74.27186965942383
2026-04-09T15:02:19.246800,10,-30,-74.22147750854492
2026-04-09T15:02:19.562239,11,Noise,-74.46907043457031
2026-04-09T15:02:19.855773,12,Noise,-74.43482398986816
2026-04-09T15:02:20.147390,13,Noise,-74.42065715789795
2026-04-09T15:02:20.444211,14,Noise,-74.40124034881592
2026-04-09T15:02:20.738073,15,Noise,-74.4314956665039
2026-04-09T15:02:21.031843,16,Noise,-74.41202640533447
2026-04-09T15:02:21.326424,17,Noise,-74.44831371307373
2026-04-09T15:02:21.620068,18,Noise,-74.44071769714355
2026-04-09T15:02:21.913157,19,Noise,-74.43823337554932
2026-04-09T15:02:22.207072,20,Noise,-74.31663513183594
2026-04-09T15:26:46.817906,1,-30,-73.8458776473999
2026-04-09T15:26:47.111960,2,-30,-74.21274185180664
2026-04-09T15:26:47.406477,3,-30,-74.23067569732666
2026-04-09T15:26:47.700811,4,-30,-74.29699420928955
2026-04-09T15:26:47.995608,5,-30,-74.25766468048096
2026-04-09T15:26:48.289984,6,-30,-74.31121349334717
2026-04-09T15:26:48.584002,7,-30,-74.3825626373291
2026-04-09T15:26:48.875943,8,-30,-74.33218479156494
2026-04-09T15:26:49.170781,9,-30,-74.28855419158936
2026-04-09T15:26:49.467419,10,-30,-74.38037872314453
2026-04-09T15:26:49.778648,11,Noise,-74.38560962677002
2026-04-09T15:26:50.073536,12,Noise,-74.42068099975586
2026-04-09T15:26:50.371465,13,Noise,-74.40210342407227
2026-04-09T15:26:50.662337,14,Noise,-74.50631618499756
2026-04-09T15:26:50.958824,15,Noise,-74.47239398956299
2026-04-09T15:26:51.253297,16,Noise,-74.3341875076294
2026-04-09T15:26:51.548258,17,Noise,-74.48358535766602
2026-04-09T15:26:51.842920,18,Noise,-74.50785636901855
2026-04-09T15:26:52.136172,19,Noise,-74.35925483703613
2026-04-09T15:26:52.430639,20,Noise,-74.3903636932373
